관리지역,시군구,배움터명,배움터주소,배움터 유형,이용정원
서울특별시,마포구,성산1동 주민센터 4층 디지털배움터,서울특별시 마포구 성산로4길 15 (성산동),거점센터,20
서울특별시,강서구,곰달래어르신복지센터,서울특별시 강서구 강서로5길 50 (화곡동),거점센터,25
서울특별시,강동구,서울시민대학 동남권 캠퍼스,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",거점센터,12
서울특별시,도봉구,창동아우르네,서울특별시 도봉구 마들로13길 84 (창동),거점센터,25
강원특별자치도,춘천시,춘천시청 시민정보화교육장,강원특별자치도 춘천시 삭주로 3 (교동),거점센터,20
인천광역시,남동구,신한 학이재,인천광역시 남동구 남동대로 776 (구월동),거점센터,30
인천광역시,계양구,계양구청,인천광역시 계양구 계산새로 88 (계산동),거점센터,20
경기도,수원시 팔달구,수원시 가족여성회관,경기도 수원시 팔달구 매산로 119 (교동),거점센터,20
경기도,성남시 수정구,수정도서관,경기도 성남시 수정구 수정로332번길 32 (산성동),거점센터,20
경기도,오산시,중앙동 행정복지센터,경기도 오산시 경기대로 307 (오산동),거점센터,20
경기도,의정부시,(재)의정부시 평생학습원,경기도 의정부시 의정로 165 (가능동),거점센터,20
경기도,부천시,(사)부천시 지체장애인협회,경기도 부천시 원미구 부천로136번길 30 (원미동),거점센터,20
경기도,안성시,안성맞춤아트홀 주민편의동,경기도 안성시 발화대길 21 (현수동),거점센터,20
대전광역시,유성구,진잠도서관,대전광역시 유성구 진잠로160번길 19 (원내동),거점센터,20
대전광역시,유성구,한국복지정보통신협의회 대전충남지부,대전광역시 유성구 가정로 168 (가정동),거점센터,30
충청남도,홍성군,홍성군 스마트 어르신 놀이터,충청남도 홍성군 홍성읍 의사로64번길 9-18 ,거점센터,13
세종특별자치시,세종특별자치시,종촌종합복지센터,세종특별자치시 도움1로 116 (종촌동),거점센터,30
충청북도,청주시 서원구,충청북도노인종합복지관,충청북도 청주시 서원구 흥덕로 42 (사직동),거점센터,20
충청북도,제천시,제천종합사회복지관,"충청북도 제천시 용두대로23길 14 (하소동, 하소주공4단지아파트)",거점센터,20
경상남도,창원시 마산회원구,경남종합사회복지관,경상남도 창원시 마산회원구 팔용로 272 (구암동),거점센터,20
경상북도,상주시,상주시노인종합복지관,경상북도 상주시 중앙로 111 (무양동),거점센터,16
경상북도,김천시,김천시청정보화교육장,경상북도 김천시 시청1길 1 (신음동),거점센터,30
경상북도,경주시,경주시민정보화교육장,경상북도 경주시 금성로318번길 21-4 (서부동),거점센터,30
대구광역시,동구,대구2.28기념학생도서관,대구광역시 동구 아양로41길 56 (신암동),거점센터,30
대구광역시,달서구,성서노인종합복지관,대구광역시 달서구 선원로 203 (용산동),거점센터,30
부산광역시,사상구,부산도서관,부산광역시 사상구 사상로310번길 33 (덕포동),거점센터,15
부산광역시,동구,부산유라시아플랫폼,부산광역시 동구 중앙대로 210 (초량동),거점센터,15
울산광역시,남구,울산 종하이노베이션센터,울산광역시 남구 봉월로38번길 32 (신정동),거점센터,16
광주광역시,동구,한국복지정보통신협의회 광주전남지부 정보화교육장,광주광역시 동구 제봉로 166 (장동),거점센터,20
광주광역시,북구,북구태봉노인복지관,광주광역시 북구 서암대로132번길 11-10 (신안동),거점센터,20
전라남도,보성군,보성군 노인복지관,전라남도 보성군 벌교읍 신정길 47-23 ,거점센터,15
전라남도,광양시,광양커뮤니티센터,전라남도 광양시 중마로 410 (마동),거점센터,15
전라남도,무안군,남악복합주민센터,전라남도 무안군 삼향읍 남악3로 40 ,거점센터,20
전북특별자치도,전주시 완산구,다가서당,전북특별자치도 전주시 완산구 전주객사1길 96-40 (다가동4가),거점센터,10
전북특별자치도,익산시,평생학습관,전북특별자치도 익산시 선화로 133 (모현동1가),거점센터,10
제주특별자치도,제주시,제주시청 3별관,제주특별자치도 제주시 광양9길 17 (이도이동),거점센터,15
제주특별자치도,서귀포시,서귀포노인복지회관,제주특별자치도 서귀포시 태평로537번길 40-9 (동홍동),거점센터,15
강원특별자치도,춘천시,춘천 명동지하상가[체험존],강원특별자치도 춘천시 중앙로 84-1 (중앙로2가) 중앙로 가-30호,체험존,5
강원특별자치도,춘천시,춘천시 남부노인복지관[체험존],강원특별자치도 춘천시 방송길 86 (온의동) ,체험존,10
강원특별자치도,원주시,원주시 노인종합복지관[체험존],강원특별자치도 원주시 동부순환로 9-6 (단구동) ,체험존,5
강원특별자치도,춘천시,춘천시 북부노인복지관[체험존],강원특별자치도 춘천시 충열로 124 (우두동) 3층 로비,체험존,10
강원특별자치도,강릉시,강릉시 평생학습관[체험존],강원특별자치도 강릉시 강릉대로 454 (포남동) 로비,체험존,10
경기도,안성시,안성맞춤아트홀 주민편의동 [체험존],경기도 안성시 발화대길 21 (현수동) 안성맞춤아트홀 주민편의동 1층 로비,체험존,0
경기도,성남시 수정구,수정도서관 [체험존],경기도 성남시 수정구 수정로332번길 32 (산성동) 수정도서관 2층,체험존,0
경기도,오산시,중앙동 행정복지센터 [체험존],경기도 오산시 경기대로 307 (오산동) 중앙동 행정복지센터 1층 로비,체험존,0
경기도,의정부시,(재)의정부시 평생학습원 [체험존],경기도 의정부시 의정로 165 (가능동) (재)의정부시 평생학습원 4층,체험존,0
경기도,김포시,김포시종합사회복지관 [체험존],경기도 김포시 사우중로 100 (사우동) 김포시종합사회복지관 1층 로비,체험존,0
경기도,부천시,(사)부천시 지체장애인협회 [체험존],경기도 부천시 원미구 부천로136번길 30 (원미동) 부천시 지체장애인협회 1층 로비,체험존,0
경기도,의정부시,경기북부발달장애훈련센터 [체험존],경기도 의정부시 시민로 62 (의정부동) 삼성생명빌딩 7층 경기북부발달장애훈련센터 로비,체험존,0
경기도,광명시,광명종합사회복지관 [체험존],경기도 광명시 오리로 1018 (광명동) 광명종합사회복지관 4층,체험존,0
경기도,수원시 팔달구,수원시 가족여성회관 [체험존],경기도 수원시 팔달구 매산로 119 (교동) 수원시 가족여성회관 본관 1층 로비,체험존,0
경상남도,김해시,김해시 동부노인종합복지관[체험존],경상남도 김해시 신어산길 46 (삼방동) 4층,체험존,15
경상남도,창원시 마산회원구,경남종합사회복지관[체험존],경상남도 창원시 마산회원구 팔용로 272 (구암동) 2층 체험존,체험존,15
경상남도,진주시,진주시 종합사회복지관 상락원[체험존],경상남도 진주시 판문오동길115번길 62-33 (판문동) 1층,체험존,15
경상남도,양산시,양산시노인복지관[체험존],경상남도 양산시 북안남5길 27 (북부동) 2층,체험존,15
경상북도,상주시,상주시노인종합복지관 [체험존],경상북도 상주시 중앙로 111 (무양동) 상주시노인종합복지관 1층,체험존,10
경상북도,김천시,김천시청정보화교육장 [체험존],경상북도 김천시 시청1길 1 (신음동) 김천시청 본관 1층,체험존,15
경상북도,경주시,경주시민정보화교육장 [체험존],경상북도 경주시 금성로318번길 21-4 (서부동) 경주시민정보화교육장,체험존,10
광주광역시,동구,한국복지정보통신협의회 광주전남지부 정보화교육장 [체험존],광주광역시 동구 제봉로 166 (장동) 7층 한국복지정보통신협의회 광주전남지부 정보화교육장 체험존,체험존,20
광주광역시,북구,북구태봉노인복지관 [체험존],광주광역시 북구 서암대로132번길 11-10 (신안동) 1층 체험존,체험존,20
대구광역시,동구,대구2.28기념학생도서관(체험존),대구광역시 동구 아양로41길 56 (신암동) 2.28기념학생도서관,체험존,30
대구광역시,달서구,성서노인종합복지관(체험존),대구광역시 달서구 선원로 203 (용산동) 성서노인종합복지관,체험존,30
대구광역시,달서구,대구발달장애인훈련센터(체험존),대구광역시 달서구 새방로 62 (용산동) 대구발달장애인훈련센터 별관3층,체험존,30
대전광역시,서구,대전발달장애인훈련센터[체험존],대전광역시 서구 둔산북로 56 (둔산동) 한화생명보험(주) 8층 디지털체험존,체험존,20
대전광역시,유성구,진잠도서관[체험존],대전광역시 유성구 진잠로160번길 19 (원내동) 1층 진잠DX지원센터,체험존,20
부산광역시,동래구,동래구 평생학습관 [체험존],부산광역시 동래구 시실로 129 (명장동) 동래구 평생학습관,체험존,10
부산광역시,사하구,신평하하센터 [체험존],부산광역시 사하구 하신중앙로 175 (신평동) 부산1호선 신평역 2층 역사 안,체험존,10
부산광역시,영도구,동삼종합사회복지관 [체험존],부산광역시 영도구 상리로 63-16 (동삼동) 동삼종합사회복지관 1층 로비,체험존,10
부산광역시,동구,부산유라시아플랫폼 [체험존],부산광역시 동구 중앙대로 210 (초량동) 부산유라시아플랫폼 B동 1층 로비,체험존,10
부산광역시,부산진구,부산발달장애인훈련센터 [체험존],부산광역시 부산진구 범일로 181 (범천동) 사학연금회관 14층 KT 체험관,체험존,10
부산광역시,중구,중구노인복지관 [체험존],부산광역시 중구 책방골목길 3-1 (보수동1가) 중구노인복지관 본관 4층 로비,체험존,10
부산광역시,서구,서구청 [체험존],부산광역시 서구 구덕로 120 (토성동4가) 서구청  본관 1층 로비,체험존,10
부산광역시,남구,용호종합사회복지관 [체험존],부산광역시 남구 이기대공원로 7 (용호동) 복지관 2층 로비,체험존,10
부산광역시,북구,금곡종합사회복지관 [체험존],부산광역시 북구 효열로 144 (금곡동) 복지관 1층 로비,체험존,10
부산광역시,해운대구,해운대종합사회복지관 [체험존],부산광역시 해운대구 재반로12번길 16 (재송동) 복지관 2층 작은 도서관,체험존,10
부산광역시,강서구,강서구종합사회복지관 [체험존],부산광역시 강서구 대저로63번길 31 (대저1동) 복지관 지하 1층 경로식당,체험존,10
부산광역시,연제구,거제종합사회복지관 [체험존],부산광역시 연제구 아시아드대로46번길 45 (거제동) 복지관 1층 로비,체험존,10
부산광역시,수영구,부산종합사회복지관 [체험존],부산광역시 수영구 금련로43번길 54 (망미동) 복지관 2층 프로그램 1실,체험존,10
부산광역시,사상구,학장종합사회복지관 [체험존],"부산광역시 사상구 학감대로49번길 28-70 (학장동) 복지관 2층 프로그램 1실, 건강증진실",체험존,10
부산광역시,기장군,다행복한종합사회복지관 [체험존],부산광역시 기장군 기장읍 차성로417번길 11  복지관 B동 1층 로비 입구 근처 컴퓨터실 전자칠판 기준 우측 뒤쪽 공간,체험존,10
부산광역시,사상구,부산도서관 [체험존],부산광역시 사상구 사상로310번길 33 (덕포동) 1층  로비,체험존,10
부산광역시,금정구,금정HAHA캠퍼스 [체험존],부산광역시 금정구 기찰로102번길 56-7 (부곡동) 부산가톨릭대학교 신학교정 한국외방선교수녀회 1층 로비,체험존,10
서울특별시,강서구,곰달래어르신복지센터[체험존],서울특별시 강서구 강서로5길 50 (화곡동) 곰달래문화복지센터 3층,체험존,30
서울특별시,동대문구,서울발달장애인훈련센터[체험존],서울특별시 동대문구 왕산로23길 55 (제기동) ,체험존,30
서울특별시,영등포구,서울남부발달장애인훈련센터[체험존],서울특별시 영등포구 선유동2로 57 (양평동4가) 이레빌딩 3층,체험존,25
서울특별시,도봉구,창동아우르내[체험존],서울특별시 도봉구 마들로13길 84 (창동) 2층,체험존,30
서울특별시,강동구,서울시민대학 동남권 캠퍼스[체험존],"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오) 서울시민대학 동남권 캠퍼스 4층 (104동) ",체험존,30
서울특별시,마포구,성산1동 주민센터  4층 디지털배움터[체험존],서울특별시 마포구 성산로4길 15 (성산동) 성산1동 주민센터 4층 성산교육장 체험존,체험존,20
서울특별시,구로구,스마트 구로 홍보관[체험존],서울특별시 구로구 새말로 지하117-21 (신도림동) (신도림역 지하1번출구나와서 왼쪽),체험존,30
세종특별자치시,세종특별자치시,종촌종합복지센터[체험존],세종특별자치시 도움1로 116 (종촌동) 3층 정보화교육장 앞 체험존,체험존,30
세종특별자치시,세종특별자치시,세종발달장애인훈련센터[체험존],세종특별자치시 가름로 143 (어진동) B동 6층 디지털체험관,체험존,20
울산광역시,남구,울산 종하이노베이션센터 [체험존],울산광역시 남구 봉월로38번길 32 (신정동) 종하 이노베이션센터 1층,체험존,10
울산광역시,남구,울산발달장애인훈련센터 [체험존],울산광역시 남구 삼산로 182 (달동) 2층,체험존,10
인천광역시,계양구,계양구청[체험존],인천광역시 계양구 계산새로 88 (계산동) ,체험존,20
인천광역시,남동구,인천발달장애인훈련센터[체험존],인천광역시 남동구 인주대로914번길 16 (만수동) 인천청선학교 5층 인천발달장애인훈련센터[체험존],체험존,10
인천광역시,남동구,신한 학이재[체험존],인천광역시 남동구 남동대로 776 (구월동) 4층,체험존,50
전라남도,함평군,장애인고용공단체험존 (전남직업개발원) ,전라남도 함평군 함평읍 학동로 546  전남직업능력개발원,체험존,30
전라남도,순천시,장애인고용공단체험존 (전남발달센터),전라남도 순천시 이수로 331 (조례동) 3층,체험존,30
전라남도,무안군,남악복합주민센터 [체험존],전라남도 무안군 삼향읍 남악3로 40  3층,체험존,10
전라남도,광양시,광양커뮤니티센터 [체험존],전라남도 광양시 중마로 410 (마동) 광양커뮤니티센터 1.5층,체험존,10
전라남도,보성군,보성군 노인복지관 [체험존],전라남도 보성군 벌교읍 신정길 47-23  2층 컴퓨터실,체험존,15
전북특별자치도,전주시 완산구,다가서당[체험존],전북특별자치도 전주시 완산구 전주객사1길 96-40 (다가동4가) 2층,체험존,5
전북특별자치도,익산시,평생학습관[체험존],전북특별자치도 익산시 선화로 133 (모현동1가) 익산시 평생학습관 1층,체험존,10
제주특별자치도,제주시,제주노동자종합복지관[체험존],제주특별자치도 제주시 수목원길 9 (노형동) B1층,체험존,10
제주특별자치도,제주시,제주발달센터[체험존],제주특별자치도 제주시 동광로 30 (이도이동) 3층,체험존,10
충청남도,홍성군,홍성군 스마트 어르신 놀이터 [체험존],충청남도 홍성군 홍성읍 의사로64번길 9-18  1층,체험존,20
충청남도,천안시 서북구,충남발달장애인훈련센터 [체험존],충청남도 천안시 서북구 부성7길 39-5 (두정동) 9층,체험존,10
충청북도,청주시 서원구,충청북도노인종합복지관 [체험존],충청북도 청주시 서원구 흥덕로 42 (사직동) 2층계단앞,체험존,20
충청북도,제천시,제천종합사회복지관 [체험존],"충청북도 제천시 용두대로23길 14 (하소동, 하소주공4단지아파트) 2층 체험존",체험존,20
